2023-09-21T20:27:25.972415+0300, DEBUG, start.py, start, 44, cmd_start, ol hoooh poiuada adagraert looo
2023-09-21T20:27:26.431398+0300, DEBUG, start.py, start, 44, cmd_start, l hoooh poiuada adagraert loooo
2023-09-21T20:27:27.133820+0300, DEBUG, start.py, start, 44, cmd_start,  hoooh poiuada adagraert looool
2023-09-21T20:27:27.632325+0300, DEBUG, start.py, start, 44, cmd_start, hoooh poiuada adagraert looool 
2023-09-21T20:27:29.492095+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:29:28.105370+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:29:29.966434+0300, DEBUG, start.py, start, 44, cmd_start, ooool hoooh poiuada adagraert l
2023-09-21T20:29:30.479000+0300, DEBUG, start.py, start, 44, cmd_start, oool hoooh poiuada adagraert lo
2023-09-21T20:29:30.942227+0300, DEBUG, start.py, start, 44, cmd_start, ool hoooh poiuada adagraert loo
2023-09-21T20:29:31.390149+0300, DEBUG, start.py, start, 44, cmd_start, ol hoooh poiuada adagraert looo
2023-09-21T20:29:31.848832+0300, DEBUG, start.py, start, 44, cmd_start, l hoooh poiuada adagraert loooo
2023-09-21T20:29:32.365368+0300, DEBUG, start.py, start, 44, cmd_start,  hoooh poiuada adagraert looool
2023-09-21T20:29:32.832231+0300, DEBUG, start.py, start, 44, cmd_start, hoooh poiuada adagraert looool 
2023-09-21T20:29:32.975518+0300, ERROR, start.py, start, 50, cmd_start, Telegram server says - Bad Request: message is not modified: specified new message content and reply markup are exactly the same as a current content and reply markup of the message
2023-09-21T20:29:33.276964+0300, DEBUG, start.py, start, 44, cmd_start, oooh poiuada adagraert looool h
2023-09-21T20:29:33.781763+0300, DEBUG, start.py, start, 44, cmd_start, ooh poiuada adagraert looool ho
2023-09-21T20:29:34.257958+0300, DEBUG, start.py, start, 44, cmd_start, oh poiuada adagraert looool hoo
2023-09-21T20:29:34.756952+0300, DEBUG, start.py, start, 44, cmd_start, h poiuada adagraert looool hooo
2023-09-21T20:29:35.250589+0300, DEBUG, start.py, start, 44, cmd_start,  poiuada adagraert looool hoooh
2023-09-21T20:29:35.738296+0300, DEBUG, start.py, start, 44, cmd_start, poiuada adagraert looool hoooh 
2023-09-21T20:29:35.912674+0300, ERROR, start.py, start, 50, cmd_start, Telegram server says - Bad Request: message is not modified: specified new message content and reply markup are exactly the same as a current content and reply markup of the message
2023-09-21T20:29:36.218172+0300, DEBUG, start.py, start, 44, cmd_start, oiuada adagraert looool hoooh p
2023-09-21T20:29:36.672905+0300, DEBUG, start.py, start, 44, cmd_start, iuada adagraert looool hoooh po
2023-09-21T20:29:37.189227+0300, DEBUG, start.py, start, 44, cmd_start, uada adagraert looool hoooh poi
2023-09-21T20:29:37.723052+0300, DEBUG, start.py, start, 44, cmd_start, ada adagraert looool hoooh poiu
2023-09-21T20:29:38.269403+0300, DEBUG, start.py, start, 44, cmd_start, da adagraert looool hoooh poiua
2023-09-21T20:29:38.846857+0300, DEBUG, start.py, start, 44, cmd_start, a adagraert looool hoooh poiuad
2023-09-21T20:29:39.452824+0300, DEBUG, start.py, start, 44, cmd_start,  adagraert looool hoooh poiuada
2023-09-21T20:29:40.021680+0300, DEBUG, start.py, start, 44, cmd_start, adagraert looool hoooh poiuada 
2023-09-21T20:29:40.341994+0300, ERROR, start.py, start, 50, cmd_start, Telegram server says - Bad Request: message is not modified: specified new message content and reply markup are exactly the same as a current content and reply markup of the message
2023-09-21T20:29:40.643146+0300, DEBUG, start.py, start, 44, cmd_start, dagraert looool hoooh poiuada a
2023-09-21T20:29:41.206039+0300, DEBUG, start.py, start, 44, cmd_start, agraert looool hoooh poiuada ad
